id,name_en,name_pt,class,set,actions,range,damage,move,lethal,ap,rules_en,rules_pt,image
deadeye_walker,Deadeye Walker,Lerdo Arqueiro,walker,Deadeye Walkers,1,0-3,1,1,1,1,"Attack whenever they activate while having a Line Of Sight on a Survivor (or more) at Range 0-3. Then, they perform a standard Zombie Attack on the designated Zone. If several Zones are eligible, they choose their target according to these priorities: The Zone with the most Survivors. The noisiest Zone. If all eligible Zones have the same amount of Survivors and Noise, the players choose.","Ataca sempre que ativar enquanto houver Lina de Visão de um Sobrevivente (ou mais) no Alcance 0-3. Então realizam um Ataque Comum de Zumbi na Zona alvo. Se houverem várias Zonas, eles escolhem de acordo com estas prioridades: A Zona com mais sobreviventes. A Zona mais barulhenta. Se todas as Zonas elegíveis possuírem a mesma quantidade de Sobreviventes e Barulho os jogadores decidem.",https://static.wikia.nocookie.net/zombicide/images/9/9b/DeadeyeWalker.png
murder_of_crowz,Murder of Crowz,Bando de Corvoz,murder_of_crowz,Murder of Crowz,1,0,1,3,1,1,Ignores all obstacles. 3 zone movement,Ignora todos os obstáculos. 3 zonas por movimento.,https://static.wikia.nocookie.net/zombicide/images/f/ff/MurderOfCrowz_MC.png
abominalpha,Abominalpha,Abominalfa,abomination,Knight Pack,3,0,1,1,3,5,"3 Actions. As long as an Abominalpha is on the board, when Runners (of any type) are spawned, spawn the same number of Zombie Wolfz instead.","3 Ações. Enquanto Abominalfa estiver em jogo, sempre que houver uma entrada de Corredores, coloque Loboz Zumbis no lugar.",https://static.wikia.nocookie.net/zombicide/images/5/55/Abominalpha_KP.png
abominarat,Abominarat,Abominarato,abomination,Knight Pack; Abominarat and Dr Stormcrow Box,1,0,1,1,3,5,"When an Abominarat Spawn Card is drawn, it spawns 1 Zone away from the noisiest Zone on the board, in a Zone with an open passage to it.","Quando Abominarato entra, sua entrada será a uma zona de distância da zona mais barulhenta do tabuleiro, com passagem livre para ela.",https://static.wikia.nocookie.net/zombicide/images/0/0f/Abominarat_KP.png
grin,Grin,Grin,necromancer,Knight Pack; Grin and Scowl Box,1,0,1,2,1,1,2 zone movement.,2 zonas por movimento.,https://static.wikia.nocookie.net/zombicide/images/c/c9/Grin.png
to_me_ku_pa,To-Me Ku-Pa,To-Me Ku-Pa,necromancer,Special Guest Carl Critchlow,1,0,1,1,1,1,Spawns with a Standard Abomination. If none are available: extra Activation for all Standard Abominations.,Entra em jogo com uma Abominação Padrão. Se nenhuma estiver disponível: Ativação extra para todas Abominações Padrão.,https://static.wikia.nocookie.net/zombicide/images/b/b1/ToMeKuPa.png
the_blackheart,The Blackheart,The Blackheart,necromancer,Special Guest Stefan Kopinski,1,0,1,1,2,1,Need 2 damage to be killed.,Precisa de 2 de dano para ser eliminado.,https://static.wikia.nocookie.net/zombicide/images/2/2c/TheBlackheart.png
ostokar,Ostokar,Ostokar,necromancer,Special Guest Naïade,1,0,1,1,1,1,"Each time he gets an Extra Activation, all Zombies in his Zone also get an Extra Activation.","Sempre que ele ganhar uma Ativação extra, todos os zumbis em sua zona também ganham.",https://static.wikia.nocookie.net/zombicide/images/a/a8/Ostokar.png
queen_medea,Queen Medea,Queen Medea,necromancer,Huntsman Pack,1,0,1,1,1,1,Cannot be eliminated if there are other Zombies in her Zone. Dragon Fire eliminates her as normal.,Não pode ser eliminada se houver outros Zumbis em sua zona. Fogo de Dragão funciona normalmente.,https://static.wikia.nocookie.net/zombicide/images/5/58/QueenMedea.png
evil_troy,Evil Troy,Evil Troy,necromancer,Huntsman Pack; Evil Troy Box,1,0,1,1,1,1,"When killed, put him back in his Spawn Zone and don't remove a Spawn Token, unless a Damage 3 (or more) Attack, or Dragon Fire, was used.",Quando eliminado o coloque de volta em sua Zona de aparecimento a menos que um ataque de dano 3 ou Fogo de Dragão tenha sido utilizado.,https://static.wikia.nocookie.net/zombicide/images/c/c9/EvilTroy.png
erik_the_summoner,Erik the Summoner,Erik o Invocador,necromancer,Erik the Summoner Box,1,0,1,1,1,1,"His Necromancer spawn zone moves along with his miniature. If he escapes, the spawn zone stays.","Sua zona de entrada de Necromante se move com ele. Se ele escapar, a zona continua.",https://static.wikia.nocookie.net/zombicide/images/7/76/ErikSummoner.png
orc_walker,Orc Walker,Orc Lerdo,walker,Green Horde,1,0,2,1,1,1,+1 Orc Walker to Horde.,+1 Orc Lerdo para Horda.,https://static.wikia.nocookie.net/zombicide/images/5/50/OrcWalker.png
orc_runner,Orc Runner,Orc Corredor,runner,Green Horde,2,0,1,1,1,1,+1 Orc Runner to Horde.,+1 Orc Corredor para Horda.,https://static.wikia.nocookie.net/zombicide/images/5/59/OrcRunner.png
orc_brute,Orc Brute,Orc Bruto,brute,Green Horde,1,0,3,1,2,1,+1 Orc Brute to Horde.,+1 Orc Bruto para Horda.,https://static.wikia.nocookie.net/zombicide/images/7/74/OrcBrute.png
orc_abomination,Orc Abomination,Abominação Orc,abomination,Green Horde,1,0,3,1,3,1,Orc Abomination.,Abominação Orc.,https://static.wikia.nocookie.net/zombicide/images/b/bf/OrcAbomination_GH.png
orc_necromancer,Orc Necromancer,Necromante Orc,necromancer,Green Horde,1,0,2,1,1,1,"+1 Orc Walker, Orc Brute and Orc Runner to Horde.","+1 Orc Lerdo, Orc Bruto e Orc Corredor para Horda.",https://static.wikia.nocookie.net/zombicide/images/8/84/OrcNecromancer.png
necromantic_dragon,Necromantic Dragon,Dragão Necromântico,abomination,No Rest for the Wicked,1,0-1,0,1,2,1,Attacks by spawning a Zombie card in the zone with the most survivor withing his range. No line of sight is required and can be done diagonally.,Ataca realizando uma entrada de Zumbi na zona alvo dentro de seu alcance. Não precisa de linha de visão e pode ser realizado na diagonal.,https://static.wikia.nocookie.net/zombicide/images/0/0d/NecromanticDragon.png
spectral_walkers,Spectral Walkers,Lerdo Espectral,walker,No Rest for the Wicked,1,0,1,1,1,1,"Can only be killed with Ballistae, Combat Spells, Vault weapons, Magic Equipment, and Dragon Fire.","Só pode ser abatido com Balista, Feitiços de Combate, Armas de Cripta, Equipamento Mágico e Fogo de Dragão.",https://static.wikia.nocookie.net/zombicide/images/4/45/SpectralWalker.png
swarm_of_ratz,Swarm of Ratz,Enxame de Ratoz,swarm_of_ratz,No Rest for the Wicked,1,0,1,2,1,1,Get an Extra Activation each time a Swarm of Ratz Zombie card is drawn. 2 zones per activation. Ignore obstacles except walls and doors.,Ganha uma ativação extra sempre que uma carta de Exame de Ratoz é comprada. 2 zonas por movimento. Ignora obstáculos com excessão de paredes e portas.,https://static.wikia.nocookie.net/zombicide/images/e/e0/SwarmofRatz.png
tainted_walker,Tainted Walker,Lerdo Maculado,walker,Friends and Foes,1,0,2,1,1,1,"A Survivor killing a Tainted Walker standing in their Zone endures a single hit in return, inflicting 2 Wounds. An Armor roll is allowed. +1 Tainted Walker to Horde.",Um Sobrevivente que abater um Lerdo Maculado estando na mesma zona recebe um ataque de 2 de dano. Rolagens de armadura são permitidas. +1 Lerdo Maculado para Horda.,https://static.wikia.nocookie.net/zombicide/images/b/b5/TaintedWalker.png
tainted_abomination,Tainted Abomination,Abominação Maculada,abomination,Friends and Foes,1,0,3,1,3,5,"A Survivor killing a Tainted Abomination standing in their Zone endures a single hit in return, inflicting 3 Wounds. No Armor roll is allowed.",Um Sobrevivente que abater uma Abominação Maculada estando na mesma zona recebe um ataque de 3 de dano. Rolagens de armadura não são permitidas.,https://static.wikia.nocookie.net/zombicide/images/2/28/TaintedAbomination.png
grand_inquisitor_innsmouth,Grand Inquisitor Innsmouth,Grande Inquisidor Innsmouth,necromancer,Special Guest Sean A. Murray,1,0,1,1,1,1,No Line Of Sight can be drawn to Innsmouth's Zone by Actors outside of it.,Não é possivel traçar linha de visão para Grande Inquisidor Innsmouth de fora de sua zona.,https://static.wikia.nocookie.net/zombicide/images/f/f8/GrandInquisitorInnsmouth.png
"foalan,_haunter_of_northweald","Foalan, Haunter of Northweald","Foalan, Assombração de Northweald",necromancer,Special Guest Paul Bonner 2,1,0,1,1,1,1,"If any Survivor enters Faolan's Zone, or if Faolan enters a Survivor's Zone, the Survivor immediately suffers a hit for Damage 2","Se qualquer Sobrevivente entrar na zona de Faolan ou Faolan entrar na zona do Sobrevivente, ele imediatamente sofre um ataque de 2 de dano.",https://static.wikia.nocookie.net/zombicide/images/a/a3/Faolan.png
lord_of_skulls,Lord of Skulls,Lorde dos Crânios,necromancer,Special Guest Adrian Smith 2,1,0,1,1,1,1,"Spawns with both Doom and Gloom, if they are in the Zombie reserve.","Entra com Doom e Gloom, se eles estiverem na reserva de Zumbis.",https://static.wikia.nocookie.net/zombicide/images/a/a5/LordofSkulls.png
doom,Doom,Doom,abomination,Special Guest Adrian Smith 2,1,0,1,2,3,5,Moves up to 2 Zones per Activation to reach their target Zone and considers the Lord of Skulls’ Zone as the noisiest on the board.,2 zonas por movimento e sempre considera a zona de Lorde dos Crânios como a zona mais barulhenta.,https://static.wikia.nocookie.net/zombicide/images/0/0b/Doom.png
gloom,Gloom,Gloom,abomination,Special Guest Adrian Smith 2,1,0,1,2,3,5,Moves up to 2 Zones per Activation to reach their target Zone and considers the Lord of Skulls’ Zone as the noisiest on the board.,2 zonas por movimento e sempre considera a zona de Lorde dos Crânios como a zona mais barulhenta.,https://static.wikia.nocookie.net/zombicide/images/5/59/Gloom.png
abominabunny,Abominabunny,Abominabunny,abomination,Horde Box,1,0,0,1,0,5,"Targets all Survivors in its Zone upon Attacking. Kills every Survivor it targets, no matter the remaining Health, Armor, or additional game effects. Can only be killed with a Dragon Fire effect.","Acerta todos os Sobreviventes na zona alvo. Elimina todos os alvos, não importando vida restante, rolagem de armadura ou efeitos de jogo. Só pode ser eliminado com Fogo de Dragão.",https://static.wikia.nocookie.net/zombicide/images/a/ac/Abominabunny.png
chromatiz,Chromatiz,Chromatiz,abomination,Horde Box,2/3,0,2/3,1,3,5,"At the start of each of Chromatiz’s activations, determine how many Actions it has and what Damage it deals during this activation:
Chromatiz has 3 Actions, but only 2 Actions if any female Survivors are within Line Of Sight.
Chromatiz inflicts Damage 3, but only Damage 2 if any male Survivors are within Line Of Sight.
Familiars don’t count.","No início da ativação de Chromatiz escolha um dos efeitos:
Chromatiz tem 3 ações, mas somente 2 ações se qualquer Sobrevivente mulher estiver em sua linha de visão.
Chromatiz inflinge dano 3, mas somente dano 2 se qualquer sobrevivente homem estiver em sua linha de visão.",https://static.wikia.nocookie.net/zombicide/images/1/14/Chromatiz.png
gorgomination,Gorgomination,Gorgominação,abomination,Horde Box,1,0,1,1,3,5,"Spawns in the noisiest Zone on the board, if it’s a building Zone. If the noisiest Zone is not a building Zone, the spawns in the nearest building Zone. Ignores walls and closed doors to set its route, and goes through them to move.","Aparece na zona mais barulhenta, caso seja uma estrutura. Caso não seja, aparece na estrutura mais próxima. Ignora paredes e portas ao se mover.",https://static.wikia.nocookie.net/zombicide/images/a/a2/Gorgomination.png
horde_brother,Horde Brother,Irmão da Horda,abomination,Horde Box,1,0,3,1,3,5,"When is spawned, add another Abomination miniature (your choice) in the Horde. If no Abomination can be added to the Horde, the immediately gets an Extra Activation.",Quando surgir adicione uma Abominação a sua escolha à Horda. Se não houver nenhuma Abominação disponível ganha uma ativação extra imediatamente.,https://static.wikia.nocookie.net/zombicide/images/b/b0/HordeBrother.png
siege_breaker,Siege Breaker,Quebra Cerco,abomination,Horde Box,1,0,3,1,3,5,"Prioritizes Moving toward Siege Engines rather than toward Survivors. Standard Zombie Move rules apply, favoring the closest Siege Engine over Survivors. Whenever the Siege Breaker and a Siege Engine are in the same Zone, the Siege Engine is destroyed. Be careful: according to the Quest’s briefing, this situation can lead to defeat!",Prioriza o movimento em direção a Armas de Cerco. Quando estiver em uma zona com uma Arma de Cerco ela imediatamente é destruída. Cuidado: dependendo da missão isto pode levar a uma derrota!,https://static.wikia.nocookie.net/zombicide/images/4/4a/SiegeBreaker.png
swamp_lurker,Swamp Lurker,Espreitador do Pântano,abomination,Horde Box,1,0,3,1,3,5,"As long as it stands in a Waterhole Zone, cannot be targeted by Attacks or killed in any way. Other game effects, like Skills or the chosen Quest’s special rules, still apply.",Enquanto estiver em uma zona de charco não pode ser alvo de ataques ou eliminado de forma alguma. Outros efeitos de jogo como habilidades e regras especiais da missão escolhida continuam funcionando.,https://static.wikia.nocookie.net/zombicide/images/f/f8/SwampLurker.png
the_magenta_covfefe_of_aargh,The Magenta Covfefe of Aargh,O Covfefe Magenta de Aargh,abomination,Horde Box,1,0,1,1,3,5,"As long as they have a Line of Sight on the Magenta Covfefe of Aargh, Survivors need to spend an extra Action whenever they want to perform a Move Action. Doesn’t apply if the Survivor stands in the same Zone as the Magenta Covfefe of Aargh. The normal penalty for having a Zombie in the same Zone still applies, though.","Enquanto o Sobrevivente tiver linha de visão para O Covfefe Magenta de Aargh ele precisa gastar uma ação extra para realizar ações de movimento. Não se aplica caso o Sobrevivente esteja na mesma zona que O Covfefe Magenta de Aargh, porém ainda sofre a penalidade de estar em a mesma zona que um Zumbi.",https://static.wikia.nocookie.net/zombicide/images/f/f8/TheMagentaCovfefe.png
vault_warden,Vault Warden,Guardião da Cripta,abomination,Horde Box,1,0,1,1,3,5,A Survivor killing the Vault Warden gets a random Vault weapon card drawn from the deck (in addition to the usual 5 experience points).,O Sobrevivente que eliminar o Guardião da Cripta ganha uma carta de Cripta.,https://static.wikia.nocookie.net/zombicide/images/7/74/VaultWarden.png
werezombie,Werezombie,Lobizumbi,abomination,Horde Box,1,0,1,1,3,5,"Whenever is killed, immediately replace it with another available Abomination in your collection (you choose). If no Abomination is available, all Abominations on the board immediately get an Extra Activation.","Sempre que for abatido, coloque uma Abominação à sua escolha em seu lugar. Se não houver nenhuma disponível todas ganham uma ativação extra.",https://static.wikia.nocookie.net/zombicide/images/9/9c/Werezombie.png
zombie_giant,Zombie Giant,Gigante Zumbi,abomination,Horde Box,2,0-1,1,1,3,5,"Can trace Lines Of Sight over buildings and Hegdes to Zones beyond them. Likewise, Actors in these Zones can trace Lines Of Sight to the Zombie Giant. At the start of each Zombies’ Phase, before any Zombies activate, a Zombie Giant throws a Zombie standing in its Zone at the Survivors (Dragons and Giants are excluded). The thrown Zombie is chosen following the Targeting Priority Order. Its miniature is removed from the board, then placed up to 2 Zones closer to its target Zone, within the Zombie Giant’s Line Of Sight. If several Zombies share the same Priority Order, and several destination Zones can be designated, players choose.","Possui linha de visão sobre construções, assim como também pode ser visto. No começo da fase dos Zumbis arremessa um Zumbi que esteja em sua zona em direção aos Sobreviventes. O Zumbi é escolhido de acordo com a ordem de prioridade. O Zumbi é posicionado até 2 zonas próximo da zona alvo, dentro da linha de visão do Gigante Zumbi.",https://static.wikia.nocookie.net/zombicide/images/2/28/ZombieGiant.png
feral_dragon,Feral Dragon,Dragão Feral,abomination,Horde Box,1,0-1,2,1,2,1,"Attacks by breathing fire at the Zone with the most Survivors within Range 0-1 (if there are any). No Line Of Sight is required, and the fire breath can be done diagonally. If several Zones are eligible, players choose. All Zombies standing in the target Zone are killed, no matter their type and immunities. No adrenaline point is gained. Survivors automatically scramble to escape the Dragon Breath unscathed. Roll a die on the Compass card for each Survivor and Siege Engine miniature in the target Zone. It is pushed 1 Zone away in the corresponding direction (this is not a Move). A Survivor or Siege Engine can’t leave the board or cross a wall this way. Instead, it stays in the Zone. A Survivor still standing in the target Zone suffers 2 Wounds (no Armor roll). A Siege Engine still standing in the target Zone is destroyed. If the target Zone is a Waterhole Zone, the Dragon doesn’t Attack (it knows fire would be a waste).","Ataca com uma baforada de fogo na zona com mais Sobreviventes dentro de seu alcance. Não necessita de linha de visão e pode ser realizado na diagonal. Todos os Zumbis na zona são eliminados, não importando imunidades ou tipo e nenhum ponto de adrenaline é ganho. Então os Sobreviventes automaticamente tentam se esquivar do ataque. Role um dado na carta de bússola para cada Sobrevivente e Arma de Cerco. Eles se movem 1 zona na direção designada. Se não for possível realizar o movimento o Sobrevivente recebe 2 de dano e a Arma de Cerco é destruída. Se for uma zona de charco o Dragão não ataca.",https://static.wikia.nocookie.net/zombicide/images/c/c2/FeralDragon.png
count_temeraire,Count Temeraire,Conde Temeraire,necromancer,Horde Box,1,0,1,1,1,1,"Discard an equipment card from each Survivor during an End phase: deal Damage 1 to Count Temeraire. If he escapes, each survivor must discard an equipment card (if available).",Descarte 1 equipamento de cada Sobreviente durante uma fase final: cause 1 de dano ao Conde Temeraire. Se ele escapar todos descartam um equipamento (se possível).,https://static.wikia.nocookie.net/zombicide/images/f/f0/CountTemeraire.png
queen_severa,Queen Severa,Rainha Severa,necromancer,Horde Box,1,0-3,1,1,1,1,Have a 3 range attack.,Possui alcance de ataque 3,https://static.wikia.nocookie.net/zombicide/images/2/22/QueenSevera.png
fatty_bursters,Fatty Bursters,Brutos Explosivos,brute,Fatty Bursters Box,1,0,2,1,2,1,"Drawing a Fatty Burster card first provides an extra Activation to all Fatty Bursters on the board, then spawns a Fatty Burster in the indicated Zone. Fatty Bursters don’t Attack. Instead, they explode whenever a Survivor stands in their Zone or ends a Move Action in their Zone. Fatty Bursters also explode upon being eliminated by a Survivor’s Combat or Siege Action. The explosion inflicts Damage 2 (no Armor roll) to all Actors in the Zone. A Survivor eliminating a Fatty Burster with a Combat or Siege Action earns all adrenaline points from additional Zombies eliminated by the ensuing explosion.","Comprar uma carta de Brutos Explosivos primeiro garante uma ativação extra para todos os Brutos Explosivos no tabuleiro e depois realiza a entrada na zona indicada. Brutos Explosivos não atacam. Ao invés disso, eles explodem sempre que um Sobrevivente entra ou encerra uma Ação de movimento em sua zona. Eles também explodem ao serem eliminados por uma Ação de Combate ou de Cerco de um Sobrevivente. A explosão causa 2 de dano (sem rolagem de armadura) para todos os Atores na zona. O Sobrevivente que realizou a Ação de Combate que eliminou o Bruto Explosivo ganha todos os pontos de adrenalina provenientes da explosão.",https://static.wikia.nocookie.net/zombicide/images/2/22/FattyBursters.png
swamp_troll,Swamp Troll,Trol do Pântano,abomination,Rat King & Swamp Troll,1,0,2,1,3,5,"The Swamp Troll is spawned in the noisiest Zone on the board if it’s a Waterhole Zone. If the noisiest Zone is not a Waterhole Zone, the Swamp Troll spawns in the Waterhole Zone closest to it. If several Waterhole Zones are eligible, players choose. If there are no Waterhole Zones on the board, the Swamp Troll spawns in the Spawn Zone closest to the noisiest Zone instead.","Entra na zona mais barulhenta se for uma zona de charco. Se a zona mais barulhenta não for uma zona de charco, entra na zona de charco mais próxima. Se não houverem zonas de charco no tabuleiro, entra na zona de entrada mais próxima da zona mais barulhenta.",https://static.wikia.nocookie.net/zombicide/images/c/c9/SwampTroll.png
rat_king,Rat King,Rato Rei,necromancer,Rat King & Swamp Troll,1,0,1,1,1,1,"When the Rat King spawns, also spawn the indicated number of Swarms of Ratz with it, according to the current Danger Level. After the Rat King performs an Extra Activation, add 1 Swarm Of Ratz miniature in its Zone (if available). Then, all Swarms Of Ratz on the board get an Extra Activation.","Quando Rato Rei Entra, também entra o número indicado de Enxame de Ratoz com ele de acordo com o Nível de Perigo. Depois que Rato Rei realizar uma Ação Extra, adicione 1 Enxame de Ratoz em sua Zona. Então todos os Enxames de Ratoz no tabuleiro ganham uma Ativação Extra.",https://static.wikia.nocookie.net/zombicide/images/d/d4/RatKing.png
the_reaper,The Reaper,O Ceifador,abomination,Massive Darkness 2 Crossover Pack,2,0,2,1,3,5,"At the end of each of The Reaper's Activations, each Survivor at Range 1 and within Line of Sight receives 1 Wound.","A cada final de turno da  Ativação do Ceifador, cada Sobrevivente no Alcance 1 e dentro da Linha de Visão recebe 1 Ferimento",https://static.wikia.nocookie.net/zombicide/images/a/a1/TheReaper.png
baalberith,Baalberith,Baalberith,abomination,Massive Darkness 2 Crossover Pack,1,0,1,1,3,5,"Upon Activation, choose the closest Survivor in Line of Sight (players choose if tied). That Survivor performs up to 1 Move and 1 Combat Action to attack another Survivor, if possible.","Quando Ativa, seleciona o Sobreviente mais próximo dentro da Linha de Visão. Este Sobrevivente realiza 1 Ação de Movimento e 1 Ação de Combate para atacar outro Sobrevivente, se possível.",https://static.wikia.nocookie.net/zombicide/images/b/be/Baalberith.png
horseman,Horseman,Cavaleiro,abomination,Massive Darkness 2 Crossover Pack,1,0,2,2,3,5,"As long as Horseman is in play, Survivors cannot perform Enchantment and Magic Actions.","Enquanto Cavaleiro estiver em jogo, Sobreviventes não podem realizar Ações de Encantamento e Mágicas.",https://static.wikia.nocookie.net/zombicide/images/3/3b/Horseman.png
queen_caenedra,Queen Caenedra,Rainha Caenedra,abomination,Massive Darkness 2 Crossover Pack,1,0,1,1,3,5,Attacks against Queen Caenedra from Range 0-1 roll 2 less dice.,Ataques contra Rainda Caenedra no Alcance 0-1 rolam 2 dados a menos.,https://static.wikia.nocookie.net/zombicide/images/5/52/QueenCaenedra.png
hugbear,Hugbear,Urso Abraçador,abomination,Massive Darkness 2 Crossover Pack,1,0,1,1,3,5,Survivors must spend 3 Move Actions to leave Hugbear's Zone.,Sobreviventes precisam gastar 3 Ações de Movimentos para deixar a Zona do Urso Abraçador.,https://static.wikia.nocookie.net/zombicide/images/e/e7/Hugbear.png
banshee,Banshee,Banshee,abomination,Massive Darkness 2 Crossover Pack,1,0,1,1,3,5,"After Activation, all Survivors at Range 0-1 get a special Noise token. At the end of Banshee's next Activation, all Survivors with such a Noise token are killed. Remove these Noise tokens if Banshee is killed.","Depois da Ativação, todos os Sobreviventes no Alcance 0-1 ganham uma ficha de Barulho especial. No final da próxima Ativação da Banshee, todos os Sobreviventes com esta ficha de Barulho são eliminados. Remova as fichas se Banshee for eliminada.",https://static.wikia.nocookie.net/zombicide/images/d/d3/Banshee.png/
cerberus,Cerberus,Cérbero,abomination,Massive Darkness 2 Crossover Pack,1,0,1,2,3,5,"Cerberus moves up to 2 Zones per Activation. After its Activation, all Survivors in its Zone receive 1 Wound.","Cérbero se move até 2 Zonas por Ativação. Depois de sua Ativação, todos os Sobreviventes em sua Zona recebem 1 Ferimento.",https://static.wikia.nocookie.net/zombicide/images/4/45/Cerberus.png/
mumm_ra_necromancer,Mumm-Ra Necromancer,Mumm-Ra Necromante,necromancer,Thundercats Pack 3,1,0,1,1,1,1,"Whenever you draw a Necromancer card and Mumm-Ra (Necromancer) is on the board, replace Mumm-Ra (Necromancer) with Mumm-Ra (Abomination) instead.","Sempre que você comprar uma carta de Necromante e Mumm-Ra (Necromante) estiver no tabuleiro, troque Mumm-Ra (Necromante) por Mumm-Ra (Abominação) ao invés disso.",https://static.wikia.nocookie.net/zombicide/images/3/3d/MummRaNecromancer.png
mumm_ra_abomination,Mumm-Ra Abomination,Mumm-Ra Abominação,abomination,Thundercats Pack 3,2,0-1,2,1,3,5,"If the Sword of Omens is in play, Mumm-Ra moves towards it. When defeated, spawn Mumm-Ra (Necromancer) on the closest Spawn Zone.","Se Espada Justiceira estiver em jogo, Mumm-Ra se move em direção a ela. Quando derrotado, coloque Mumm-Ra (Necromante) na Zona de Entrada mais próxima.",
grand_vizier,Grand Vizier,Grand Vizier,necromancer,La Compagnia Della Forca,1,0,1,1/2,1,1,"Cannot be eliminated if there are other Zombies in his Zone. If there are no Zombies in his Zone when he activates, he moves up to 2 Zones instead of 1.","Não pode ser eliminada se houver outros Zumbis em sua zona. Se não houverem Zumbis em sua Zona quando ele Ativar, ele se move 2 Zonas ao invés de 1.",https://static.wikia.nocookie.net/zombicide/images/7/70/GrandVizier.png/
the_sparrow,The Sparrow,O Pardal,necromancer,La Compagnia Della Forca,1,0,2,1,1,1,"Spawns with 2 ""Shadow Knights"" (use 2 Brutes to represent them).",Entra com 2 Cavaleiros das Sombras (use 2 Brutos para representá-los),https://static.wikia.nocookie.net/zombicide/images/5/5a/TheSparrow.png
pharaoh_eddie,Pharaoh Eddie,Eddie Faraó,abomination,Iron Maiden Pack 1,0,0,0,0,3,5,Pharaoh Eddie cannot Move or Attack. All Zombies activating in a Zone with no Survivors perform 1 extra Action.,Eddie Faraó não pode se Mover ou Atacar. Todos os Zumbis ativando em uma Zona sem Sobreviventes realizam 1 Ação extra.,https://static.wikia.nocookie.net/zombicide/images/8/84/PharaohEddie_IM.png
samurai_eddie,Samurai Eddie,Eddie Samurai,abomination,Iron Maiden Pack 1,1,0,2,1,3,5,"At the end of the Zombies' Phase, Samurai Eddie eliminates the closest non-Abomination Zombie to deal 1 Wound to the closest Survivor in Line of Sight.","No fim da Fase dos Zumbis, Eddie Samurai elimina o inimigo não Abominação mais próximo para causar 1 Ferimento ao Sobrevivente mais próximo em sua Linha de Visão.",
reaper_eddie,Reaper Eddie,Eddie Ceifador,necromancer,Iron Maiden Pack 1,1,0,3,1,1,1,"At the start of the Zombies' Phase, the Survivor in Line of Sight closest to Reaper Eddie is killed (players choose if tied).","No começo da Fase dos Zumbis, o Sobreviente na Linha de Visão mais próximo de Eddie Ceifador é eliminado.",https://static.wikia.nocookie.net/zombicide/images/8/89/ReaperEddie_IM.png
